PM10,NO,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,PM2.5
51.35,12.02,15.63,11.2,14.36,0.74,27.03,0.41,1.43,26.16
56.15,12.37,15.7,11.19,13.82,0.74,27.23,0.43,1.45,28.46
46.53,11.68,16.48,11.37,13.56,0.74,27.98,0.41,1.46,23.87
52.02,12.07,15.87,11.33,12.32,0.74,27.3,0.41,1.44,26.49
48.19,11.8,16.07,11.57,12.73,0.74,27.34,0.41,1.47,24.66
47.89,11.78,16.08,11.32,13.29,0.74,27.54,0.41,1.47,24.52
47.27,11.73,15.79,11.25,12.7,0.73,27.6,0.41,1.42,24.23
46.35,11.67,15.85,11.34,9.2,0.74,27.21,0.41,1.44,23.79
52.31,12.1,15.97,11.4,8.1,0.73,27.2,0.41,1.44,26.63
50.87,11.99,16.34,11.25,8.34,0.75,27.38,0.42,1.46,25.93
50.68,11.98,16.11,11.25,8.1,0.75,26.92,0.41,1.44,25.85
53.76,12.2,16.41,11.47,10.05,0.73,27.95,0.41,1.47,27.31
52.56,12.11,15.86,11.27,7.32,0.72,27.71,0.4,1.43,26.74
52.48,12.11,16.07,11.39,6.76,0.75,27.3,0.41,1.46,26.71
50.82,11.99,15.89,11.29,6.17,0.74,27.17,0.41,1.44,25.91
54.91,12.28,15.61,11.26,17.13,0.73,27.56,0.41,1.43,27.87
49.2,11.87,15.6,11.32,18.2,0.73,27.82,0.41,1.45,25.14
48.72,11.84,15.83,11.24,18.88,0.73,27.67,0.43,1.48,24.91
48.47,11.82,15.82,11.39,19.66,0.74,27.39,0.41,1.42,24.79
51.57,12.04,16.2,11.28,14.05,0.73,27.47,0.42,1.45,26.27
50.19,11.94,16.17,11.06,14.97,0.74,27.27,0.4,1.43,25.62
51.83,12.06,15.6,11.07,15.57,0.71,27.42,0.41,1.43,26.39
55.85,12.35,15.82,11.59,16.67,0.73,27.62,0.41,1.47,28.31
46.38,11.67,15.91,11.14,10.88,0.74,26.81,0.41,1.46,23.8
50.56,11.97,16,11.2,10.05,0.74,27.58,0.41,1.44,25.79
48.23,11.8,16.19,11.33,11.28,0.72,27.61,0.41,1.45,24.68
49.86,11.92,16.06,11.28,11.81,0.73,27,0.41,1.47,25.46
46.35,11.67,16.02,11.26,7.58,0.75,26.88,0.41,1.46,23.79
50.11,11.94,15.62,11.07,7.31,0.73,27.61,0.41,1.47,25.57
48.25,11.81,16.14,11.41,7.68,0.75,27.49,0.43,1.47,24.69
47.03,11.72,15.78,11.35,7.86,0.75,27.19,0.42,1.45,24.11
47.94,11.78,16.28,11.29,11.91,0.75,27.7,0.41,1.5,24.54
50.58,11.97,15.98,11.48,12.85,0.74,27.14,0.41,1.45,25.8
